date,close
2024-01-10,149.94
2024-01-11,150.51
2024-01-12,150.6
2024-01-16,149.79
2024-01-17,149.94
2024-01-18,148.14
2024-01-19,147.57
2024-01-22,147.86
2024-01-23,153.98
2024-01-24,152.12
2024-01-25,155.62
2024-01-26,156.14
2024-01-29,156.16
2024-01-30,157.49
2024-01-31,157.14
2024-02-01,159.18
2024-02-02,158.09
2024-02-05,158.21
2024-02-06,158.96
2024-02-07,159.12
2024-02-08,158.64
2024-02-09,157.42
2024-02-12,157.11
2024-02-13,156.27
2024-02-14,155.63
2024-02-15,157.01
2024-02-16,157.51
2024-02-20,158.51
2024-02-21,160.4
2024-02-22,160.56
2024-02-23,161.03
2024-02-26,160.22
2024-02-27,159.3
2024-02-28,160.05
2024-02-29,158.94
2024-03-01,158.85
2024-03-04,159.56
2024-03-05,159.32
2024-03-06,159.57
2024-03-07,160.62
2024-03-08,160.35
2024-03-11,161.55
2024-03-12,161.93
2024-03-13,162.3
2024-03-14,161.5
2024-03-15,161.38
2024-03-18,161.21
2024-03-19,161.83
2024-03-20,161.99
2024-03-21,161.86
2024-03-22,161.66
2024-03-25,160.19
2024-03-26,160.55
2024-03-27,162.61
2024-03-28,162.25
2024-04-01,160.58
2024-04-02,160.57
2024-04-03,156.15
2024-04-04,155.45
2024-04-05,156.1
2024-04-08,156.04
2024-04-09,156.66
2024-04-10,157.24
2024-04-11,155.84
2024-04-12,155.33
2024-04-15,155.45
2024-04-16,155.95
2024-04-17,156.96
2024-04-18,157.29
2024-04-19,158.14
2024-04-22,160.54
2024-04-23,161.5
2024-04-24,162.6
2024-04-25,162.55
2024-04-26,161.29
2024-04-29,161.66
2024-04-30,163.2
2024-05-01,163.4
2024-05-02,163.84
2024-05-03,164.46
2024-05-06,164.44
2024-05-07,165.76
2024-05-08,165.07
2024-05-09,166.04
2024-05-10,166.85
2024-05-13,165.87
2024-05-14,165.76
2024-05-15,166.51
2024-05-16,167.86
2024-05-17,167.64
2024-05-20,167.31
2024-05-21,168.35
2024-05-22,167.81
2024-05-23,165.49
2024-05-24,165.33
2024-05-28,163.11
2024-05-29,161.65
2024-05-30,162.58
2024-05-31,164.54
2024-06-03,164.65
2024-06-04,167.01
2024-06-05,166.05
2024-06-06,168.47
2024-06-07,167.06
2024-06-10,167.35
2024-06-11,167.48
2024-06-12,165.18
2024-06-13,166.41
2024-06-14,166.79
2024-06-17,167.5
2024-06-18,168.56
2024-06-20,167.67
2024-06-21,168.26
2024-06-24,168.45
2024-06-25,166.85
2024-06-26,167.45
2024-06-27,166.62
2024-06-28,164.92
2024-07-01,162.72
2024-07-02,163.9
2024-07-03,163.83
2024-07-05,165.21
2024-07-08,166.52
2024-07-09,165.66
2024-07-10,166.8
2024-07-11,165.54
2024-07-12,166.61
2024-07-15,164.58
2024-07-16,166.95
2024-07-17,169.44
2024-07-18,168.44
2024-07-19,167.96
2024-07-22,168.25
2024-07-23,166.62
2024-07-24,168.0
2024-07-25,166.9
2024-07-26,169.11
2024-07-29,169.93
2024-07-30,161.7
2024-07-31,160.76
2024-08-01,165.69
2024-08-02,170.08
2024-08-05,168.06
2024-08-06,168.09
2024-08-07,170.02
2024-08-08,170.87
2024-08-09,170.54
2024-08-12,166.81
2024-08-13,167.29
2024-08-14,168.8
2024-08-15,167.92
2024-08-16,167.89
2024-08-19,168.42
2024-08-20,170.41
2024-08-21,170.16
2024-08-22,170.15
2024-08-23,169.17
2024-08-26,170.35
2024-08-27,169.25
2024-08-28,169.06
2024-08-29,170.03
2024-08-30,171.54
2024-09-03,174.52
2024-09-04,175.9
2024-09-05,175.47
2024-09-06,175.59
2024-09-09,176.06
2024-09-10,177.79
2024-09-11,173.92
2024-09-12,173.47
2024-09-13,174.08
2024-09-16,177.24
2024-09-17,175.88
2024-09-18,173.92
2024-09-19,171.54
2024-09-20,174.22
2024-09-23,173.77
2024-09-24,173.24
2024-09-25,172.26
2024-09-26,173.21
2024-09-27,173.55
2024-09-30,173.2
2024-10-01,173.04
2024-10-02,171.92
2024-10-03,170.12
2024-10-04,168.88
2024-10-07,167.12
2024-10-08,168.16
2024-10-09,169.27
2024-10-10,168.95
2024-10-11,171.09
2024-10-14,172.51
2024-10-15,173.57
2024-10-16,172.38
2024-10-17,172.28
2024-10-18,171.28
2024-10-21,169.54
2024-10-22,169.7
2024-10-23,169.58
2024-10-24,169.62
2024-10-25,168.22
2024-10-28,169.3
2024-10-29,167.17
2024-10-30,166.16
2024-10-31,165.18
2024-11-01,165.1
2024-11-04,165.08
2024-11-05,165.76
2024-11-06,161.05
2024-11-07,163.41
2024-11-08,167.71
2024-11-11,166.03
2024-11-12,165.84
2024-11-13,166.58
2024-11-14,167.08
2024-11-15,169.54
2024-11-18,170.75
2024-11-19,170.76
2024-11-20,170.89
2024-11-21,172.75
2024-11-22,176.28
2024-11-25,177.39
2024-11-26,179.31
2024-11-27,179.36
2024-11-29,179.26
2024-12-02,179.7
2024-12-03,175.42
2024-12-04,175.11
2024-12-05,176.03
2024-12-06,173.82
2024-12-09,170.79
2024-12-10,172.28
2024-12-11,170.63
2024-12-12,170.85
2024-12-13,171.06
2024-12-16,171.14
2024-12-17,170.33
2024-12-18,169.08
2024-12-19,169.19
2024-12-20,168.06
2024-12-23,168.11
2024-12-24,168.94
2024-12-26,170.16
2024-12-27,169.53
2024-12-30,167.09
2024-12-31,167.65
2025-01-02,165.98
2025-01-03,165.13
2025-01-06,160.6
2025-01-07,161.3
2025-01-08,162.1
2025-01-10,158.56
2025-01-13,158.84
2025-01-14,159.74
2025-01-15,159.65
2025-01-16,160.5
2025-01-17,161.13
2025-01-21,161.72
2025-01-22,164.74
2025-01-23,166.15
2025-01-24,164.12
2025-01-27,169.66
2025-01-28,166.19
2025-01-29,166.23
2025-01-30,167.41
2025-01-31,165.99
2025-02-03,168.76
2025-02-04,168.13
2025-02-05,169.01
2025-02-06,168.88
2025-02-07,167.97
2025-02-10,167.53
2025-02-11,169.43
2025-02-12,169.58
2025-02-13,171.02
2025-02-14,162.89
2025-02-18,165.43
2025-02-19,166.49
2025-02-20,167.21
2025-02-21,170.23
2025-02-24,170.54
2025-02-25,172.65
2025-02-26,171.3
2025-02-27,171.97
2025-02-28,173.84
2025-03-03,175.59
2025-03-04,173.18
2025-03-05,174.61
2025-03-06,174.66
2025-03-07,175.95
2025-03-10,176.26
2025-03-11,173.12
2025-03-12,168.37
2025-03-13,168.59
2025-03-14,167.97
2025-03-17,169.76
2025-03-18,167.71
2025-03-19,168.57
2025-03-20,167.55
2025-03-21,166.69
2025-03-24,165.65
2025-03-25,162.85
2025-03-26,166.58
2025-03-27,168.71
2025-03-28,168.03
2025-03-31,170.42
2025-04-01,170.56
2025-04-02,169.5
2025-04-03,172.39
2025-04-04,163.75
2025-04-07,160.23
2025-04-08,158.39
2025-04-09,162.32
2025-04-10,163.56
2025-04-11,166.91
2025-04-14,169.13
2025-04-15,168.47
2025-04-16,166.39
2025-04-17,170.63
2025-04-21,165.75
2025-04-22,167.88
2025-04-23,165.73
2025-04-24,159.53
2025-04-25,161.02
2025-04-28,161.85
2025-04-29,162.26
2025-04-30,162.57
2025-05-01,159.98
2025-05-02,160.52
2025-05-05,158.83
2025-05-06,159.25
2025-05-07,159.29
2025-05-08,158.65
2025-05-09,157.66
2025-05-12,160.9
2025-05-13,158.73
2025-05-14,158.02
2025-05-15,162.41
2025-05-16,163.28
2025-05-19,164.77
2025-05-20,165.64
2025-05-21,165.43
2025-05-22,165.03
2025-05-23,165.86
2025-05-27,167.76
2025-05-28,167.36
2025-05-29,168.56
2025-05-30,169.89
2025-06-02,167.78
2025-06-03,166.85
2025-06-04,165.95
2025-06-05,162.8
2025-06-06,164.02
2025-06-09,162.56
2025-06-10,162.84
2025-06-11,162.11
2025-06-12,163.18
2025-06-13,160.28
2025-06-16,160.88
2025-06-17,158.52
2025-06-18,158.02
2025-06-20,159.08
2025-06-23,161.03
2025-06-24,160.36
2025-06-25,158.97
2025-06-26,158.63
2025-06-27,159.86
2025-06-30,159.32
2025-07-01,161.22
2025-07-02,161.2
2025-07-03,160.83
2025-07-07,160.5
2025-07-08,157.89
2025-07-09,157.52
2025-07-10,158.49
2025-07-11,157.05
2025-07-14,153.76
2025-07-15,152.68
2025-07-16,153.73
2025-07-17,155.62
2025-07-18,155.1
2025-07-21,155.03
2025-07-22,158.32
2025-07-23,158.28
2025-07-24,158.81
2025-07-25,158.3
2025-07-28,157.11
2025-07-29,156.61
2025-07-30,152.88
2025-07-31,150.47
2025-08-01,150.65
2025-08-04,150.76
2025-08-05,150.51
2025-08-06,152.86
2025-08-07,153.49
2025-08-08,153.51
2025-08-11,154.98
2025-08-12,155.09
2025-08-13,155.41
2025-08-14,153.74
2025-08-15,154.36
2025-08-18,155.72
2025-08-19,158.4
2025-08-20,159.51
2025-08-21,158.73
2025-08-22,158.67
2025-08-25,156.15
2025-08-26,155.97
2025-08-27,156.96
2025-08-28,155.65
2025-08-29,157.04
2025-09-02,157.99
2025-09-03,158.17
2025-09-04,159.19
2025-09-05,160.02
2025-09-08,159.01
2025-09-09,159.46
2025-09-10,157.35
2025-09-11,158.63
2025-09-12,157.9
2025-09-15,156.83
2025-09-16,158.05
2025-09-17,160.33
2025-09-18,157.32
2025-09-19,156.04
2025-09-22,153.07
2025-09-23,152.5
2025-09-24,152.42
2025-09-25,152.15
2025-09-26,152.5
2025-09-29,153.53
2025-09-30,153.65
2025-10-01,153.18
2025-10-02,152.05
2025-10-03,152.27
2025-10-06,150.41
2025-10-07,152.54
2025-10-08,150.69
2025-10-09,150.58
2025-10-10,149.69
2025-10-13,147.49
2025-10-14,149.16
2025-10-15,147.42
2025-10-16,149.6
2025-10-17,151.4
2025-10-20,151.96
2025-10-21,151.62
2025-10-22,152.2
2025-10-23,152.21
2025-10-24,152.49
2025-10-27,151.74
2025-10-28,151.37
2025-10-29,148.77
2025-10-30,149.58
2025-10-31,150.37
2025-11-03,148.02
2025-11-04,147.17
2025-11-05,145.79
2025-11-06,146.13
2025-11-07,146.98
2025-11-10,145.5
2025-11-11,148.54
2025-11-12,148.01
2025-11-13,147.96
2025-11-14,147.67
2025-11-17,145.82
