date,close
2024-01-10,367.92
2024-01-11,363.34
2024-01-12,363.62
2024-01-16,361.1
2024-01-17,359.29
2024-01-18,362.38
2024-01-19,366.99
2024-01-22,368.06
2024-01-23,372.14
2024-01-24,376.59
2024-01-25,380.85
2024-01-26,385.4
2024-01-29,383.18
2024-01-30,387.15
2024-01-31,383.74
2024-02-01,386.44
2024-02-02,390.75
2024-02-05,390.76
2024-02-06,393.74
2024-02-07,397.66
2024-02-08,397.49
2024-02-09,398.36
2024-02-12,397.71
2024-02-13,394.8
2024-02-14,398.68
2024-02-15,403.45
2024-02-16,405.99
2024-02-20,407.15
2024-02-21,409.25
2024-02-22,415.16
2024-02-23,417.22
2024-02-26,409.14
2024-02-27,408.91
2024-02-28,412.14
2024-02-29,409.4
2024-03-01,407.11
2024-03-04,403.39
2024-03-05,400.74
2024-03-06,403.96
2024-03-07,402.39
2024-03-08,403.15
2024-03-11,404.76
2024-03-12,404.98
2024-03-13,408.13
2024-03-14,406.73
2024-03-15,408.13
2024-03-18,408.41
2024-03-19,411.76
2024-03-20,416.11
2024-03-21,413.78
2024-03-22,411.6
2024-03-25,409.92
2024-03-26,411.57
2024-03-27,416.93
2024-03-28,420.52
2024-04-01,420.2
2024-04-02,418.92
2024-04-03,420.24
2024-04-04,415.32
2024-04-05,418.62
2024-04-08,415.97
2024-04-09,414.69
2024-04-10,409.11
2024-04-11,407.61
2024-04-12,403.26
2024-04-15,400.26
2024-04-16,396.92
2024-04-17,397.74
2024-04-18,399.89
2024-04-19,405.08
2024-04-22,408.78
2024-04-23,408.74
2024-04-24,405.95
2024-04-25,404.91
2024-04-26,402.1
2024-04-29,400.96
2024-04-30,396.73
2024-05-01,398.58
2024-05-02,400.6
2024-05-03,400.87
2024-05-06,404.92
2024-05-07,406.14
2024-05-08,406.37
2024-05-09,408.82
2024-05-10,412.05
2024-05-13,411.22
2024-05-14,410.24
2024-05-15,412.76
2024-05-16,413.12
2024-05-17,416.94
2024-05-20,413.0
2024-05-21,414.37
2024-05-22,413.99
2024-05-23,405.88
2024-05-24,407.41
2024-05-28,403.9
2024-05-29,404.09
2024-05-30,408.61
2024-05-31,414.4
2024-06-03,414.79
2024-06-04,409.53
2024-06-05,409.85
2024-06-06,411.08
2024-06-07,413.72
2024-06-10,410.81
2024-06-11,408.5
2024-06-12,408.77
2024-06-13,405.92
2024-06-14,405.54
2024-06-17,407.32
2024-06-18,407.95
2024-06-20,409.15
2024-06-21,409.62
2024-06-24,413.98
2024-06-25,410.97
2024-06-26,410.26
2024-06-27,407.95
2024-06-28,406.8
2024-07-01,405.19
2024-07-02,407.1
2024-07-03,405.685
2024-07-05,411.17
2024-07-08,409.08
2024-07-09,410.52
2024-07-10,413.79
2024-07-11,418.78
2024-07-12,424.44
2024-07-15,434.42
2024-07-16,438.9
2024-07-17,445.61
2024-07-18,441.82
2024-07-19,434.47
2024-07-22,435.98
2024-07-23,434.01
2024-07-24,432.8
2024-07-25,433.29
2024-07-26,437.66
2024-07-29,438.31
2024-07-30,441.26
2024-07-31,438.5
2024-08-01,431.81
2024-08-02,428.36
2024-08-05,413.72
2024-08-06,422.14
2024-08-07,427.02
2024-08-08,431.54
2024-08-09,431.67
2024-08-12,430.39
2024-08-13,432.41
2024-08-14,438.47
2024-08-15,440.84
2024-08-16,444.51
2024-08-19,448.77
2024-08-20,448.36
2024-08-21,446.6
2024-08-22,449.03
2024-08-23,453.38
2024-08-26,454.49
2024-08-27,460.63
2024-08-28,464.59
2024-08-29,468.37
2024-08-30,475.92
2024-09-03,476.83
2024-09-04,478.57
2024-09-05,464.92
2024-09-06,459.42
2024-09-09,459.61
2024-09-10,458.92
2024-09-11,453.1
2024-09-12,450.87
2024-09-13,447.61
2024-09-16,451.78
2024-09-17,456.68
2024-09-18,456.6
2024-09-19,459.71
2024-09-20,455.31
2024-09-23,454.98
2024-09-24,454.56
2024-09-25,452.36
2024-09-26,454.18
2024-09-27,457.47
2024-09-30,460.26
2024-10-01,457.41
2024-10-02,456.67
2024-10-03,452.96
2024-10-04,461.97
2024-10-07,453.5
2024-10-08,453.8
2024-10-09,455.9
2024-10-10,454.93
2024-10-11,460.21
2024-10-14,459.98
2024-10-15,462.68
2024-10-16,465.69
2024-10-17,465.85
2024-10-18,464.8
2024-10-21,464.16
2024-10-22,461.45
2024-10-23,460.61
2024-10-24,457.77
2024-10-25,454.01
2024-10-28,458.49
2024-10-29,454.62
2024-10-30,454.96
2024-10-31,450.92
2024-11-01,452.14
2024-11-04,442.29
2024-11-05,445.06
2024-11-06,468.9
2024-11-07,460.13
2024-11-08,463.41
2024-11-11,467.36
2024-11-12,466.29
2024-11-13,468.1
2024-11-14,467.7
2024-11-15,470.28
2024-11-18,472.2
2024-11-19,468.86
2024-11-20,468.83
2024-11-21,472.06
2024-11-22,476.57
2024-11-25,477.43
2024-11-26,478.56
2024-11-27,483.08
2024-11-29,483.02
2024-12-02,477.33
2024-12-03,470.19
2024-12-04,468.32
2024-12-05,470.57
2024-12-06,470.5
2024-12-09,463.87
2024-12-10,462.49
2024-12-11,461.39
2024-12-12,458.63
2024-12-13,457.9
2024-12-16,455.2
2024-12-17,455.66
2024-12-18,446.59
2024-12-19,449.34
2024-12-20,453.2
2024-12-23,454.35
2024-12-24,458.66
2024-12-26,459.08
2024-12-27,456.51
2024-12-30,452.16
2024-12-31,453.28
2025-01-02,451.1
2025-01-03,453.56
2025-01-06,451.41
2025-01-07,452.92
2025-01-08,451.84
2025-01-10,442.66
2025-01-13,443.91
2025-01-14,450.03
2025-01-15,458.51
2025-01-16,462.81
2025-01-17,467.95
2025-01-21,468.57
2025-01-22,460.51
2025-01-23,459.83
2025-01-24,463.19
2025-01-27,474.7
2025-01-28,469.97
2025-01-29,469.26
2025-01-30,472.35
2025-01-31,468.67
2025-02-03,464.61
2025-02-04,467.49
2025-02-05,473.73
2025-02-06,477.22
2025-02-07,472.74
2025-02-10,470.17
2025-02-11,472.61
2025-02-12,471.73
2025-02-13,480.49
2025-02-14,479.59
2025-02-18,482.82
2025-02-19,483.77
2025-02-20,481.8
2025-02-21,478.74
2025-02-24,498.42
2025-02-25,499.82
2025-02-26,494.1
2025-02-27,502.41
2025-02-28,513.83
2025-03-03,510.08
2025-03-04,495.86
2025-03-05,498.5
2025-03-06,497.84
2025-03-07,495.62
2025-03-10,497.1
2025-03-11,496.25
2025-03-12,495.94
2025-03-13,504.25
2025-03-14,514.6
2025-03-17,523.01
2025-03-18,523.14
2025-03-19,525.27
2025-03-20,528.73
2025-03-21,521.91
2025-03-24,525.85
2025-03-25,528.87
2025-03-26,533.21
2025-03-27,534.52
2025-03-28,526.31
2025-03-31,532.58
2025-04-01,532.99
2025-04-02,537.72
2025-04-03,530.16
2025-04-04,493.54
2025-04-07,490.38
2025-04-08,492.64
2025-04-09,521.41
2025-04-10,515.81
2025-04-11,524.11
2025-04-14,529.52
2025-04-15,528.17
2025-04-16,516.45
2025-04-17,518.21
2025-04-21,506.92
2025-04-22,520.79
2025-04-23,526.81
2025-04-24,531.64
2025-04-25,530.96
2025-04-28,530.94
2025-04-29,534.57
2025-04-30,533.25
2025-05-01,530.23
2025-05-02,539.8
2025-05-05,512.15
2025-05-06,512.33
2025-05-07,518.22
2025-05-08,513.25
2025-05-09,513.74
2025-05-12,514.3
2025-05-13,511.88
2025-05-14,503.4
2025-05-15,507.33
2025-05-16,514.31
2025-05-19,512.39
2025-05-20,508.74
2025-05-21,507.03
2025-05-22,503.57
2025-05-23,503.46
2025-05-27,509.16
2025-05-28,503.11
2025-05-29,506.18
2025-05-30,503.96
2025-06-02,502.81
2025-06-03,497.83
2025-06-04,491.0
2025-06-05,488.74
2025-06-06,493.53
2025-06-09,493.33
2025-06-10,491.13
2025-06-11,488.14
2025-06-12,490.34
2025-06-13,487.54
2025-06-16,490.23
2025-06-17,483.48
2025-06-18,485.14
2025-06-20,484.85
2025-06-23,487.77
2025-06-24,493.48
2025-06-25,486.21
2025-06-26,485.05
2025-06-27,485.68
2025-06-30,485.77
2025-07-01,489.61
2025-07-02,480.48
2025-07-03,485.0
2025-07-07,478.03
2025-07-08,477.47
2025-07-09,478.91
2025-07-10,478.27
2025-07-11,475.86
2025-07-14,476.31
2025-07-15,470.13
2025-07-16,471.31
2025-07-17,473.4
2025-07-18,473.8
2025-07-21,474.41
2025-07-22,478.13
2025-07-23,482.63
2025-07-24,480.6
2025-07-25,484.07
2025-07-28,481.7
2025-07-29,476.56
2025-07-30,476.0
2025-07-31,471.88
2025-08-01,472.84
2025-08-04,459.11
2025-08-05,464.19
2025-08-06,468.91
2025-08-07,461.47
2025-08-08,465.4
2025-08-11,464.73
2025-08-12,470.39
2025-08-13,477.31
2025-08-14,479.22
2025-08-15,477.2
2025-08-18,478.52
2025-08-19,485.31
2025-08-20,488.68
2025-08-21,488.59
2025-08-22,489.0
2025-08-25,486.18
2025-08-26,492.21
2025-08-27,495.72
2025-08-28,499.86
2025-08-29,502.98
2025-09-02,501.14
2025-09-03,501.49
2025-09-04,506.91
2025-09-05,499.77
2025-09-08,493.78
2025-09-09,492.72
2025-09-10,490.08
2025-09-11,496.91
2025-09-12,493.74
2025-09-15,491.54
2025-09-16,490.99
2025-09-17,492.33
2025-09-18,490.5
2025-09-19,492.85
2025-09-22,493.71
2025-09-23,494.1
2025-09-24,497.09
2025-09-25,494.96
2025-09-26,500.03
2025-09-29,499.25
2025-09-30,502.74
2025-10-01,498.2
2025-10-02,495.92
2025-10-03,498.75
2025-10-06,500.02
2025-10-07,502.3
2025-10-08,499.84
2025-10-09,496.74
2025-10-10,489.13
2025-10-13,491.93
2025-10-14,495.97
2025-10-15,496.39
2025-10-16,488.81
2025-10-17,492.42
2025-10-20,494.08
2025-10-21,491.29
2025-10-22,491.81
2025-10-23,490.16
2025-10-24,492.1
2025-10-27,488.07
2025-10-28,481.44
2025-10-29,475.76
2025-10-30,478.52
2025-10-31,477.54
2025-11-03,475.68
2025-11-04,487.66
2025-11-05,488.77
2025-11-06,493.15
2025-11-07,499.06
2025-11-10,496.98
2025-11-11,497.07
2025-11-12,502.4
2025-11-13,513.11
2025-11-14,508.94
2025-11-17,503.26
2025-11-18,504.37
2025-11-19,501.26
2025-11-20,501.12
2025-11-21,504.04
2025-11-24,507.81
2025-11-25,508.57
2025-11-26,511.23
2025-11-28,513.81
2025-12-01,508.55
2025-12-02,506.65
2025-12-03,503.6
2025-12-04,503.23
2025-12-05,504.34
2025-12-08,497.23
2025-12-09,491.43
2025-12-10,490.43
2025-12-11,495.85
2025-12-12,499.52
2025-12-15,506.38
2025-12-16,499.84
2025-12-17,504.27
2025-12-18,503.39
2025-12-19,494.53
2025-12-22,499.73
2025-12-23,500.51
2025-12-24,501.34
2025-12-26,498.3
2025-12-29,501.05
2025-12-30,503.71
2025-12-31,502.65
2026-01-02,496.85
2026-01-05,498.52
2026-01-06,499.05
2026-01-07,496.12
2026-01-08,499.77
2026-01-09,497.76
